id,title,translation,number,key,meter,piece_type,appears_in,composer,arranger,publisher,publication_place,copyright_holder,copyright_year,medium,file_name,notes,audio_recording
180,Na Zielony Łące,On the Green Meadow,2628,A major,2/4,polka,,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1927,print,180_na-zielony-lace_print.pdf,"Second title given: ""Przeweodnik"" (Leader)",
181,Nämdemansmoras Hambo,Hambo of the Juryman from Mora,7527,D major,3/4,hambo,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,181_namdemansmoras_print.pdf,Swedish language title and dance type (hambo),
182,Na Obata Czarny Las,Around the Black Forest,,A major,2/4,polka,,,,,,,,pencil,182_naokolo-ciemny-las_pencil.pdf,"No time signature or notes, just Chemnitzer numbers in pencil",
183,Naokoło Ciemny Las,The Dark Woods,10113,A major,2/4,polka,,,S.S. Gralak,S. S. Gralak,1532 W47th St. Chicago Ill.,S. S. Gralak,1929,print,183_naokolo-ciemny-las_print.pdf,,
184,Narodowa Polka,National Polka,15021,D major,2/4,polka,,,John Sitek,John Sitek,,,,print,184_narodowa-polka_print.pdf,,
185,Nasz Kosciuszko Dobry Był,Our Beloved Kościuszko,15041,D major,2/4,krakowiak,,,,John Sitek,,,,print,185_nasz-kosciuszko-dobry_print.pdf,,
186,Neapolitan Nights,,9641,G major,3/4,waltz,,J. S. Zamecnik,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",Sam Fox Pub. Co.,1925,print,186_neapolitan-nights_print.pdf,Back page includes ad for different concertina models,
187,Nie Idzie To Polka,This Isn't Working Polka,,G major,2/4,polka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,187_nie-idzie-to_print.pdf,,
188,O Katharina!,,8033,D major,2/4,one step,,Richard Fall,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Wiener Boheme Verlag,1924,print,188_o-katharina_print.pdf,,
189,Oberek Grojecki,Oberek from Grojec,2601,G major,3/4,oberek,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1924,print,189_oberek-grojecki_print.pdf,,
