id,title,translation,number,key,meter,piece_type,appears_in,composer,arranger,publisher,publication_place,copyright_holder,copyright_year,medium,file_name,notes,audio_recording
001,19320 End Fragment,,19320,D major,2/2,foxtrot,,,,,,,,print,001_19320-end-fragment_print.pdf,Fragment,
002,2611 End Fragment,,2611,D major,3/4,,,,,,,,,print,002_2611-end-fragment_print.pdf,Fragment,
003,4 Polish Dances,,6006,G major,3/4,mixed,,,,,,,,print,003_4-polish-dances_print.pdf,"Contains four distinct pieces: D Major Kuyawiak (3/4), D Major Kuyawiak (3/4), A Major Mazur (3/4), G major Oberek (3/4)",https://archive.org/details/78_cztery-tnce-polskie-cz-i_gbia0541268a;https://archive.org/details/78_cztery-tnce-polskie-cz-ii_gbia0541268b
004,42nd Street,,,B minor,2/2,foxtrot,"""42nd Street"" (1933 film)",Harry Warren,,,,,,pen,004_42nd-street_pen.pdf,"The very popular closing number from the film of the same name, numerous version were recorded",https://archive.org/details/JV-8149-1933-QmS9PLei5eQUzLk2D3S25B6fzq1mNcsX9LfbAT9hrJYs8h.mp3
006,8000 End Fragment,,8000,G major,3/4,,,,,,,,,print,006_8000-end-fragment_print.pdf,,
007,8469 End Fragment,,8469,G major,4/4,,,,,,,,,print,007_8469-end-fragment_print.pdf,Chords notated,
008,A Little Street Where Old Friends Meet,,,D major,3/4,waltz,,,,,,,,pen,008_a-little-street_pen.pdf,,
009,A Perfect Day,,1474,C major,3/4,song waltz,,Carrie Jacobs-Bond,Henry Silberhorn,Henry Silberhorn,,Carrie Jacobs-Bond,1910,print,009_a-perfect-day_print.pdf,"Includes snippet of ""I Love You Truly"" as introduction",
010,A Zawracaj Od Komina,Swing Around the Chimney,6012,G major,3/4,mazurka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Company,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,010_a-zawracaj-od_print.pdf,,
011,Ach Ich Bin So Muede,"Oh, I Am So Tired",4040,D major,2/4,polka,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,011_ach-ich-bin_print.pdf,,
012,All I Do Is Dream of You,,8652,D major,2/2,foxtrot,"MGM's Production ""Sadie McKee""",Nacio Herb Brown,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago Ill.",Metro-Goldwyn-Mayer Corp.,1934,print,012_all-i-do-is-dream_print.pdf,"Appears in musical, has tempo marking: ""slowly""",https://archive.org/details/78_all-i-do-is-dream-of-you_larry-vincent-freed-brown_gbia0089659b
013,Andzia s Kodeksem,Annie and the Rulebook,2696,D major,2/4,polka,V+E Polish Dance Collection no. 5,,M. Zmyslo,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,013_andzia-s-kodeksem_print.pdf,,
014,Baczność,Attention!,2420,D major,2/2,march,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,014_bacznosc_print.pdf,,
015,Barbara Polka,,2283,G major,2/4,polka,,,Rudy Patek,Patek's Music Store,"835 Milwaukee Ave., Chicago, Ill.",,,print,015_barabara-polka_print.pdf,,https://archive.org/details/78_barushka-barbara-polka_connecticut-polish-orchestra-p-d-vich_gbia0528784a
016,Barbara Polka,,,G major,2/4,polka,,,,,,,,pen,016_barbara-polka_pen.pdf,Copied from entry 015,https://archive.org/details/78_barushka-barbara-polka_connecticut-polish-orchestra-p-d-vich_gbia0528784a
017,Bartender Polka,,395,D major,2/4,polka,,"H. Gerlach, Tedy Demey",Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.",Southern Music Pub. Co.,"Broadway, N.Y.C.",print,017_bartender-polka_print.pdf,"Has note, ""As played on Victor Record V-613 by Will Glahe""",
018,Barbara Polka,,,G major,2/4,polka,,,,,,,,pen,018_baruska-polka_pen.pdf,"Duplicate of entry 016, also likely copied from one of these",https://archive.org/details/78_barushka-barbara-polka_connecticut-polish-orchestra-p-d-vich_gbia0528784a
019,"Be Still, My Heart",,8671,D major,2/2,foxtrot,,Allan Flynn and Jack Egan,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Broadway Music Corp.,1934,print,019_be-still-my-heart_print.pdf,,
020,"Będzie Piwko, Psie Korytko",Beer in the Doggie Dish,15062,D major,3/8,oberek,,,Sta Sobas,John Sitek,"Chicago, Ill.",John Sitek,1933,print,020_bedzie-piwko_print.pdf,Nonsensical drinking song title,
021,Beer Barrel Polka,,2812,D major,2/4,polka,,Lew Brown and Jaromir Vejoda,Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.","Shapiro, Bernstein & Co.",1934,print,021_beer-barrel_print.pdf,Grandad's favorite polka,https://archive.org/details/JV-14507-1939-QmZLffRDja6X8L3aMBnQsJqUxkvuwNxe4EPSYbXwg6prqK.mp3
022,Bialy Mazur,White Mazurka,6004,D major,3/4,mazurka,,W. Osmanski,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,022_bialy-mazur_print.pdf,,https://archive.org/details/78_white-mazur-bialy-mazur_bernard-witkowski-and-his-silver-bells-orch-w-osmanski_gbia0027843b
023,On the Beautiful Blue Danube,,4053,D major,3/4,waltz,,J. Strauss,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,023_blue-danube_print.pdf,,https://archive.org/details/78_on-the-beautiful-blue-danube_vienna-radio-orch_gbia0512444a
024,Blue Hours,,8632,D major,3/4,waltz,,Wayne King and Jerry Castillo,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Leo Feist, Inc.",1933,print,024_blue-hours_print.pdf,,https://archive.org/details/1933-USA-Archives-1933-05-24-Wayne-King-Orch-Blue-Hours
026,Flisak Krakowiak,Fisherman's Krakowiak,,G major,2/4,krakowiak,,,,,,,,pen,026_bruno-flisak-krakowiak_pen.pdf,"""Bruno"" written at top",
027,Bruno,,,D major,3/8,,,,,,,,,pen,027_bruno_pen.pdf,,
028,Bukowina Mazurek,,2643,D major,3/4,mazurka,,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1927,print,028_bukowina-mazurek_print.pdf,,
029,By a Waterfall,,8629,D major,2/2,foxtrot,,Irving Kahal and Sammy Fain,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",M. Witmark & Sons,1933,print,029_by-a-waterfall_print.pdf,,
030,Cheek to Cheek,,9675,D major,2/2,foxtrot,"RKO-Radio Picture ""Top Hat""",Irving Berlin,Bob Ross,Patek Music Co.,"835 Milwaukee Ave., Chicago, Ill.","Irving Berlin, Inc.",1935,print,030_cheek-to-cheek_print.pdf,,
032,Chłopski Krakowiak,Peasants' Krakowiak,27552,D major,2/4,krakowiak,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave, Chicago, Ill.",W. H. Sajewski,1927,print,032_chlopski-krakowiak_print.pdf,,
033,Cieciorki Polka,Girls' Polka,9515,D major,2/4,polka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,033_cieciorki-polka-book_print.pdf,"Subtitled ""Kirta Polka"" (means ""Festival Polka"")",
034,Cieciorki Polka,Girls' Polka,9515,D major,2/4,polka,,,H. Schuckert,Patek's Music Store,"Chicago, Ill.",Patek's Music Store,1922,print,034_cieciorki-polka_print.pdf,E.M. Wunderlich listed as engraver,
035,Cieszmy Się Polka,Let's Rejoice!,2289,A major,2/4,polka,,W. Osmanski,,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,035_cieszmy-sie-polka-fragment_print.pdf,"Fragment, publisher name cut off",
036,Cikanka,Gypsy Girl,,D major,2/4,polka,,,W. Adeszko,W. H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1911,print,036_cikanka_print.pdf,,
037,Circus Galop,,395,D major,2/4,galop,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,037_circus-gallop_print.pdf,,
039,Cuckoo-Waltz,,2611,D major,3/4,waltz,,,,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,039_cuckoo-waltz-fragment_print.pdf,Fragment,
040,Czarna Wrona,Black Cow,15048,D major,2/4,polka,,,Sta. Sobas,John Sitek,,John Sitek,1931,print,040_czarna-wrona-polka_print.pdf,,
041,Czerwone Piwko Polka,Red Beer Polka,15051,D major,2/4,polka,,,Sta. Sobas,John Sitek,,John Sitek,1931,print,041_czerwone-piwko_print.pdf,,
042,Czy Pamiętasy Cóś Mowiła,Do You Remember What She Said?,,G major,2/4,polka,,,W. Adeszko,W. H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1911,print,042_czy-pamietasy-fragment_print.pdf,Fragment,
043,Czy Pamietasz Cóś Mowiła,Do You Remember What She Said?,2184,G major,2/4,polka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,043_czy-pamietasz-cos_print.pdf,,
044,Dziweyno Kocham Cie,"Girl, I Love You",,D major,3/4,mazurka,,,,,,,,pen,044_D major-bruno_pen.pdf,"Title on last page, ""Bruno"" written at top of first page",
045,D Major Fragment,,,D major,2/4,,,,,,,,,pen,045_D major-march-fragment_pen.pdf,"Fragment, no title given",
046,D Major Krakowiak,,,D major,2/4,krakowiak,,,,,,,,pen,046_D major-march_pen.pdf,"No title given except ""Krakowiak"" on last page",
047,Cochalanka Polka,Sweetheart Polka,,D major,2/4,polka,,,,,,,,pencil,047_D major-march_pencil.pdf,"Title uncertain, appears on last page",
049,D Major Waltz End Fragment,,,D major,3/4,waltz,,,,,,,,print,049_D major-waltz-end-fragment_print.pdf,End fragment,
050,D Major Waltz Fragment,,,D major,3/4,waltz,,,,,,,,pencil,050_D major-waltz_pencil.pdf,,
051,Danube Waves Waltz,,,G major,3/4,waltz,,Ivanovici,,Patek's Music Store,"Chicago, Ill.",,,print,051_danube-waves_print.pdf,,
052,Dinah,,8097,D major,2/2,foxtrot,,Harry Akst,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Henry Waterson Inc.,1926,print,052_dinah-fot-trot_print.pdf,,
054,Do Upadłego,Until You Drop,,D major,3/8,oberek,,Powiadowski,W. Adeszko,W. H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W.H. Sajewski,1915,print,054_do-upadlego-fragment_print.pdf,,
055,Doodle-Doo-Doo,,7999,G major,4/4,foxtrot,,Art Kassel & Mel. Stitzel,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.","Leo Feist, Inc.",1924,print,055_doodle-doo_print.pdf,,
056,Ducaty Polka,Ducats Polka,6505,D major,2/4,polka,,,H. Schuckert,,"Chicago, Ill.",,,print,056_ducaty-polka-fragment_print.pdf,A few illegible sections due to worn edges,
057,Dziadunio,Grandpa,2272,D major,2/4,polka,,,H. Schuckert,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,057_dziadunio_print.pdf,,
058,Dziennikarski Mazur,Journalist's Mazurka,,D major,3/8,mazurka,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,058_dziennikarski-mazur_print.pdf,,
059,Eeny-Meeny-Miney-Mo,,,G major,2/2,,,,Wallie-J-Sender,,,,,pen,059_eeny-meeny_pen.pdf,,
060,"Ev'ryone Says ""I Love You""",,8581,G major,2/2,foxtrot,,Bert Kalmar & Harry Ruby,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Famous Music Corp.,1932,print,060_evryone-says-i-love_print.pdf,,
061,Feist Medley Fox Trot No. 1,,9662,A major,4/4,foxtrot,,,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",Leo Feist,1934,print,061_feist-medley_print.pdf,"Medley of ""Feather Your Nest"", ""Goofus"", and ""The Darktown Strutters Ball""",
062,Flisak Krakowiak,Boatman's Krakowiak,15042,G major,2/4,krakowiak,,,Sta. Sobas,John Sitek,,,,print,062_flisak-krakowiak_print.pdf,,
063,Follow The Swallow,,7998,A major,4/4,foxtrot,,"Billy Rose, Mort Dixon, and Ray Henderson",Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Jerome H. Remick & Co.,1924,print,063_follow-the-swallow_print.pdf,,
064,Footloose and Fancyfree,,8692,D major,2/2,foxtrot,,Gus Kahn & Carmen Lombardo,Frank F. Schmidt,Henry Silberhorn,"Chicago, Ill.",Metro-Goldwyn-Mayer Corp.,1935,print,064_footloose-and-fancyfree_print.pdf,,
065,Four Polish Dances,4 Polskie Tance,6006,G major,3/4,mixed,,,,Patek's Music Store,"Chicago, Ill.",,,print,065_four-polish-dances_print.pdf,"Group of four pieces in different keys, times, and piece types",
066,Francuzka-Polka,French Lady Polka,,D major,2/4,polka,,,,,,,,pen,066_francuszka-polka_pen.pdf,,
067,Francuzka Polka,French Lady Polka,,D major,2/4,polka,,,,John Sitek,,,,print,067_francuzka-polka_print.pdf,,
068,Untitled G major Piece,,,G major,2/2,,,,,,,,,pen,068_G major-march_pen.pdf,,
069,Na Piszę Karteczke do Rzymu,Writing a Little Card to Rome,,G major,2/4,polka,,,,,,,,pencil,069_G major-march_pencil.pdf,,
070,G major End Fragment,,,G major,3/4,,,,,,,,,print,070_G major-p3-fragment_print.pdf,,
071,4th Piece in Set (Fragment),,,G major,3/4,,,,,,,,,print,071_G major-p5-fragment_print.pdf,,
072,G major Polka (Untitled),,,G major,2/4,polka,,,,,,,,pen,072_G major-polka_pen.pdf,,
073,G major Waltz End Fragment,,,G major,3/4,waltz,,,,,,,,print,073_G major-waltz-end-fragment_print.pdf,,
074,C Major Fragment,,,C major,3/4,,,,,,,,,pen,074_G major-waltz-fragment_pen.pdf,,
075,German Home Sweet Home,,4145,D major,3/4,,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Henry Silberhorn,1911,print,075_german-home-sweet_print.pdf,,
076,Give Me A Night In June,,,D major,2/2,foxtrot,,,,,,,,pen,076_give-me-a-night_pen.pdf,,
077,Good Night Little Girl of My Dreams,,9653,D major,3/4,waltz,,Charlie Tobias and Joe Burke,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",Joe Morris Music Co.,,print,077_good-night-little-girl_print.pdf,,
078,Good Night My Love,,255,G major,2/2,foxtrot,,Mack Gordon and Harry Revel,Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.",Robbins Music Corp.,1936,print,078_good-night-my-love_print.pdf,,
079,Good Night Sweetheart,,8529,C major,2/2,foxtrot,,"Ray Noble, Jimmy Campbell & Reg. Conelly",Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Campbell, Connelly, & Co.",1931,print,079_good-night-sweetheart_print.pdf,Copyright based in England,
080,Goofus,,1990,D major,2/2,foxtrot,,"Gus Kahn, Wayne King, and William Harold",Frank F. Schmidt,Henry Silberhorn,"Chicago, Ill.",Leo Feist,1930,print,080_goofus-fox-trot_print.pdf,,
081,Goofus,,,G major,2/2,foxtrot,,,,,,,,pen,081_goofus_pen.pdf,Different key/arrangement than ID#080 Goofus in this collection ,
082,Goralska Polka,Highlander's Polka,2695,D minor,2/4,polka,V+E Polish Dance Collection no. 5,,Geo. Paluch,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1928,print,082_goralska-polka_print.pdf,"Rare D minor key, modulates to D Major",
083,Góralska Polka,Highlander's Polka,,D major,2/4,polka,V+E Polish Dance Collection no. 4,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,083_goralska_print.pdf,The collection in which this originally appeared is not extant in my grandfather's belongings (the collection is noted in the bottom left of the page),
084,Grochowka Polka,Pea Soup Polka,,G major,2/4,polka,,,,,,,,pen,084_grochowianka_pen.pdf,,
086,Gwiazdkowe i Swiateczne Piesni,Christmas and Holiday Songs,2586,D major,2/2,mixed,,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,086_gwiazdkowe-i_print.pdf,Collection of 6 very short tunes relating to holidays,
087,Ha-Cha-Cha,,8666,D major,2/2,foxtrot,"""Caravan"" a FOX picture",Gus Kahn & Werner R. Heymann,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Movietone Music Corp.,1934,print,087_ha-cha-cha_print.pdf,,
088,Helena- Polka,,2085,D major,2/4,polka,,,Louis Vitak,Georgi & Vitak,"Chicago, Ill.",,,print,088_helena-polka_print.pdf,,
089,"Hello, Beautiful!",,8499,D major,2/2,foxtrot,,Walter Donaldson,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Donaldson, Douglas & Gumble, Inc.",1931,print,089_hello-beautiful_print.pdf,,
090,High-on-a-Hilltop,,,G major,2/2,foxtrot,,,Wallie J. Sender,,,,,pen,090_high-on-a-hilltop_pen.pdf,,
091,Hiszpanka Walc,Spanish Waltz,,G major,3/4,waltz,,,,John Sitek,,,,print,091_hizpanka-walc_print.pdf,,
092,Hopp Hopp,,2465,D major,3/4,mazurka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,092_hopp-hopp_print.pdf,,
093,Hopsa Polka,Hop! Polka,9512,A major,2/4,polka,,,Leo Korman,Patek's Music Store,"Chicago, Ill.",Patek's Music Store,1922,print,093_hopsa-polka_print.pdf,,
094,I Was Lucky,,8683,D major,2/2,foxtrot,"""Folies Bergere De Paris"" (1935 movie)",Jack Meskill & Jack Stern,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Robbins Music Corp.,1935,print,094_i-was-lucky_print.pdf,"Includes rare tempo marking: ""Slow, with expression""",
095,Ida! Sweet As Apple Cider,,9702,G major,2/4,foxtrot,,Eddie Leonard,Joseph P. Elsnic,Vitak-Elsnic Co.,"4639 So. Ashland Ave., Chicago, Ill.",Edw. B. Marks Music Co.,1930,print,095_ida-sweet-as_print.pdf,,
096,I'll Always Be In Love With You,,8378,A major,3/4,waltz,,"Herman Ruby, Bud Green & Sam H. Stept",Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Green & Stept, Inc.",1929,print,096_ill-always-be_print.pdf,,
097,I'll Be Faithful,,171,C major,2/2,foxtrot,,Ned Washington & Allie Wrubel,Joseph P. Elsnic,Vitak-Elsnic Co.,"4815 So. Ashland Ave., Chicago, Ill.",Metro-Goldwyn-Mayer Corp.,1933,print,097_ill-be-faithful_print.pdf,"Includes tempo marking ""Slow""",
098,I'll String Along With You,,8649,G major,2/2,foxtrot,"""Twenty Million Sweethearts"" (movie)",Al. Dubin & Harry Warren,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",M. Witmark & Sons,1934,print,098_ill-string-along_print.pdf,"Includes tempo marking ""Slowly and smoothly""",
099,I'm Sure of Everything But You,,8589,G major,2/2,foxtrot,,"Chas. O'Flynn, Geo. W. Meyer & Pete Wendling",Frank F. Schmidt,Henry Silberhorn,"519-21 Milwaukee Ave. Chicago, Ill.","Heit-Engel, Inc.",1932,print,099_im-sure-of-everything_print.pdf,,
100,In A Little Spanish Town,,8171,D major,3/4,waltz,,Lewis and Young,Henry Silberhorn,Henry Silberhorn,"516 Milwaukee Ave., Chicago, Ill.","Leo. Feist, Inc.",1926,print,100_in-a-little-spanish_print.pdf,"Subtitle: ""'Twas on a Night Like This""",
101,One-Night-in-Monte-Carlo,,,C major,2/2,,,,Wallie J Sender,,,,,pen,101_in-monte-carlo_pen.pdf,,
102,In the Chapel in the Moonlight,,245,G major,4/4,foxtrot,,Billy Hill,Joseph P. Elsnic,Vitak-Elsnic Co.,"4815 Ashland Ave., Chicago, Ill.","Shapiro, Bernstein & Co.",1936,print,102_in-the-chapel_print.pdf,,
103,In The Valley Of The Moon,,8599,D major,3/4,waltz,,Charlie Tobias and Joe Burke,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Joe Morris Music Co.,1933,print,103_in-the-valley_print.pdf,,
104,I've Got A Feelin' You're Foolin',,8701,D major,2/2,foxtrot,"""Broadway Melody of 1936"" (movie)",Arthur Freed and Nacio Herb Brown,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Metro-Goldwyn-Mayer Corp.,1935,print,104_ive-got-a-feelin_print.pdf,,
105,Jak To Na Wojence Ladnie,How Pretty It Is in the War,15052,C major,2/4,polka,,,Joseph P. Elsnic,Vitak-Elsnic Co.,"4639 So. Ashland Ave., Chicago, Ill.",,,print,105_jak-to-na-wojence_print.pdf,"A very popular Polish song, title is ironic",
106,Jak to Nawojence Ładnie,How Pretty It Is in the War,15052,D major,2/4,polka,,,Sta. Sobas,John Sitek,,John Sitek,1931,print,106_jak-to-nawojence_print.pdf,A different arrangement of ID#105,
107,Julianna,,2132,G major,3/4,mazurka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1922,print,107_julianna_print.pdf,,
108,June in January,,8672,D major,2/2,foxtrot,,Leo Robin & Ralph Rainger,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Paramount Productions Corp.,1934,print,108_june-in-january_print.pdf,"Tempo marking: ""Slowly & broadly""",
109,Just One More Chance,,8521,D major,2/2,foxtrot,,Sam Coslow and Arthur Johnston,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Famous Music Corp.,1931,print,109_just-one-more-chance_print.pdf,,
110,Kanarek Polka,Canary Polka,2396,G major,2/4,polka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,110_kanarek-polka_print.pdf,,
111,Krakowiak Oryginalna,Traditional Krakowiak,6079,G major,2/4,krakowiak,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Henry Silberhorn,1923,print,111_karkowiak-oryginalna_print.pdf,,
112,Kaśka z Mazurem,Katie with the Mazurka,6019,G major,3/4,mazurka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,112_kaska-z-mazurem_print.pdf,,
113,Katarina Polka,,4523,D major,2/4,polka,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,113_katarina-polka-fragment_print.pdf,"Fragment, edges heavily worn",
114,Kinder Polka,Children's Polka,4502,D major,2/4,polka,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,114_kinder-polka-fragment_print.pdf,Final measure worn,
115,Klara Polka,,6327,G major,2/4,polka,,,Henry Silberhorn,Henry Silberhorn,"519-21 Milwaukee Ave., Chicago",,,print,115_klara-polka_print.pdf,,
116,Kokietka Polka,Coquette Polka,,G major,2/4,polka,Slight wear obscures one of the last measures,,W. Adeszko,W.H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W.H. Sajewski,1912,print,116_kokietka-polka-fragment_print.pdf,,
117,Koniec Swiata Polka,End of the World Polka,,D major,2/4,polka,,,W. Adeszko,W.H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W.H. Sajewski,1919,print,117_koniec-swiata_print.pdf,,
118,Kotka Polka,Kitty Polka,,G major,2/4,polka,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,118_kotka-polka_print.pdf,,
119,Krakowiak No. 2.,Polish National Dance,6017,G major,2/4,krakowiak,,,,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,119_krakowiak-2_print.pdf,,
120,"Będzie Piwko, Psie Korytko",Beer in the Doggie Dish,,D major,3/8,obertas,,,,,,,,pen,120_krakowiak-no2_pen.pdf,"Title at the top (""Krakowiak no. 2"") appears to refer to something else- the title at the bottom is correct.  See ID#020",
121,Krakowiak No. 2,,,D major,2/4,krakowiak,,,,,,,,pencil,121_krakowiak-no2_pencil.pdf,,
123,Kreutz Polka,,2098,D major,2/4,polka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,123_kreutz-polka_print.pdf,,
124,Kujawiak No. 6,,2149,A major,3/4,kujawiak,,,F. Rozanski,,,,,print,124_kujawiak-6_print.pdf,Publisher cut off at bottom,
125,Kujawiak No. 7.,,2157,D major,3/4,kujawiak,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,125_kujawiak-7_print.pdf,,
126,Kujawiak Muszynskiego,Muszynski’s Kujawiak,2589,D major,3/4,kujawiak,G&V Polish Dance Collection,S. Muszynski,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,126_kujawiak-muszynskiego_print.pdf,,
127,Dzien Dobry Kujawiak,Hello Kujawiak,2577,D major,3/4,kujawiak,,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,127_kujawiak-no8_print.pdf,,
128,Kujawiak Staro Krajski No.2,Old-Country Kujawiak No.2,,C major,3/4,kujawiak,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,128_kujawiak-staro-krajski-2_print.pdf,,
129,Kujawiak Staro Krajski,Old-Country Kujawiak,2134,D major,3/4,kujawiak,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,129_kujawiak-staro-krajski_print.pdf,,
130,Kujawiak z Oberkiem,Kujawiak with an Oberek,,D major,3/8,mixed,,,W. Adeszko,W.H. Sajewski,"1011 Milwaukee Ave. Chicago, Ill.",W.H. Sajewski,1915,print,130_kujawiak-z-oberkiem_print.pdf,,
131,"Kuku ""Polka""",Cuckoo Polka,2398,D major,2/4,polka,,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,131_kuku-polka_print.pdf,,
132,La Spagnola (Hispanka) Waltz,Spanish Lady Waltz,7029,G major,3/4,waltz,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,132_la-spagnola_print.pdf,,
133,Laczka Zielona-Walc,Little Green Meadow Waltz,5005,G major,3/4,waltz,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,133_laczka-zielona_print.pdf,,
134,Lastucka Polka,Little Swallow Polka,6522,G major,2/4,polka,,,Henry Silberhorn,,,,,print,134_lastucka-polka_print.pdf,,
135,Lesna Bajka Waltz,Woodland Story Waltz,,C major,3/4,waltz,,,,,,,,pen,135_lesna-bajka_pen.pdf,,
